row_label,Industrial group,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Teamsters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representation rights were won,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no union,Total eligible employees in elections choosing representation
"Mining and individual mining rows (Metal mining, Coal mining, Crude petroleum and natural gas production, Mining and quarrying of nonmetallic minerals except fuels)",,,,,,,,,,,,,,,,,
Mining,78,44,21,13,8,2,34,5096,4489,2358,3418,1667,1110,481,158,2131,4357
"Sector rows (Construction, Wholesale trade, Retail trade, Finance/insurance/real estate, U.S. Postal Service)",,,,,,,,,,,,,,,,,
"Transportation, communication, and other utilities (sector subtotal includes individual rows for local/suburban transit, intercity passenger transportation, trucking, water transportation, gas distribution, motor freight warehousing, communications, electric/gas utilities, etc.)",1041,536,242,236,10,28,505,52773,45116,30952,13599,5884,1888,14164,34144,,
"Service sector rows (Hotels/rooming houses/camps, Personal services, Motion pictures, Amusement/recreation services, Health services, Educational services, Membership organizations, Business services, Miscellaneous repair services, Miscellaneous services)",,,,,,,,,,,,,,,,,
Services,1379,725,475,109,21,120,654,84113,73809,36674,24182,3674,1487,7251,36449,39814,
Public administration,1,,,,,,,1,283,246,77,,,,77,169,
"Total, all Industrial groups",8577,4138,2420,1182,259,268,4439,501996,445032,218281,152693,40046,23050,77909,215251,218281,
