row_label,All C cases — Number,All C cases — Percent of total cases closed,CA cases — Number,CA cases — Percent of total cases closed,CB cases — Number,CB cases — Percent of total cases closed,CC cases — Number,CC cases — Percent of total cases closed,CD cases — Number,CD cases — Percent of total cases closed,CE cases — Number,CE cases — Percent of total cases closed,CG cases — Number,CG cases — Percent of total cases closed,CP cases — Number,CP cases — Percent of total cases closed
Total number of cases closed,42047,100.0,29411,100.0,8916,100.0,2445,100.0,477,100.0,168,100.0,70,100.0,560,100.0
Agreement of the parties,11531,27.5,8678,29.5,1477,16.6,1146,46.9,1,0.2,28,16.7,33,47.2,163,29.1
Agreement — Informal settlement,11357,27.0,8588,29.1,1444,16.2,1100,45.0,,,28,16.7,33,47.2,158,28.2
Informal settlement — Before issuance of complaint,7424,17.7,6448,21.9,1093,12.3,878,35.9,,,21,12.5,22,31.4,121,21.6
"Informal settlement — After issuance of complaint, before opening of hearing",3848,9.2,3230,11.0,345,3.9,222,9.1,,,7,4.2,11,15.8,36,6.4
"Informal settlement — After hearing opened, before issuance of ALJ decision",85,0.2,47,0.2,22,0.3,,,,,,,,,,
Agreement — Formal settlement,174,0.5,90,0.3,33,0.4,46,1.9,,,,,,,5,0.9
"Formal settlement — After issuance of complaint, before opening of hearing",118,0.3,,,26,0.2,34,1.4,,,,,,,2,0.4
Compliance with,1318,3.1,1106,3.7,152,1.7,37,1.5,6,1.2,6,3.5,2,2.8,10,1.7
Compliance — Administrative law judge's decision,33,0.1,,,,,,,,,,,,,,
Compliance — Board decision,819,,648,2.2,129,1.4,24,,,,6,3.5,,,,
