Action taken,Total all,Remedial action taken by — Employer — Total,Remedial action taken by — Employer — Agreement of parties — Informal settlement,Remedial action taken by — Employer — Agreement of parties — Formal settlement,Remedial action taken by — Employer — Pursuant to Recommendation of administrative law judge,Remedial action taken by — Employer — Pursuant to Order of Board,Remedial action taken by — Employer — Pursuant to Order of Court,Remedial action taken by — Union — Total,Remedial action taken by — Union — Agreement of parties — Informal settlement,Remedial action taken by — Union — Agreement of parties — Formal settlement,Remedial action taken by — Union — Pursuant to Recommendation of administrative law judge,Remedial action taken by — Union — Pursuant to Order of Board,Remedial action taken by — Union — Pursuant to Order of Court
"C. By amounts of monetary recovery, total",54497461,53747804,31829177,1700797,1895976,11255798,7066256,749657,388713,82597,513,239322,38512
"Backpay (includes all monetary payments except fees, dues, and fines)",53441668,52820501,31372682,1637860,1895976,11226214,6687969,621167,309090,56034,0,226392,29651
"Reimbursement of fees, dues, and fines",1055793,927303,456495,62937,0,29584,378287,128490,79623,26563,513,12930,8861
