row_label,Participating unions,Total elections,Percent won by incumbent union,Elections won by unions Total,Won by AFL-CIO affiliates,Won by Teamsters,Won by Other national unions,Won by Other local unions,Elections in which no representative was chosen,Employees eligible Total,Eligible in units AFL-CIO affiliates,Eligible in units Teamsters,Eligible in units Other national unions,Eligible in units Other local unions,Eligible in units where no representative chosen
Total RD elections,234,29.5,69,42,23,3,1,165,12705,7708,5352,1995,325,66,4997
1-union elections — AFL-CIO,149,24.8,37,37,,,,112,6442,4632,4632,,,,1810
1-union elections — Teamsters,59,25.4,15,,15,,,44,3432,,966,,,,2466
1-union elections — Other national unions,4,50.0,2,,,2,,2,,,,,,,
1-union elections — Other local unions,5,0.0,0,,,,0,5,,,,,,,
2-union elections — Total,17,88.2,15,5,8,1,1,2,2250,2076,720,999,291,66,174
2-union elections — AFL-CIO v AFL-CIO,11,100.0,11,5,,,,,,,,,,,
2-union elections — AFL-CIO v Teamsters,4,100.0,4,,4,,,,,,,,,,
