row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
"2,000 to 2,999.....................................................",0,0,0.0,99.9,0,0.0,0,0.0,0,0.0,0,0.0
"3,000 to 9,999.....................................................",7194,2,0.1,100.0,1,0.3,1,0.2,0,0.0,0,0.0
"Over 9,999..........................................................",0,0,0.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0
,B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD)
Total RD elections....................................,23511,296,100.0,,48,100.0,75,100.0,4,100.0,169,100.0
Under 10.............................................................,302,50,16.9,16.9,2,4.2,2,2.7,0,0.0,46,27.2
10 to 19...............................................................,855,55,18.6,35.5,3,6.3,16,21.3,1,25.0,35,20.7
20 to 29...............................................................,637,26,8.8,44.3,5,10.4,6,8.0,2,50.0,13,7.7
30 to 39...............................................................,1132,31,10.5,54.7,8,16.7,8,10.7,0,0.0,15,8.9
40 to 49...............................................................,697,16,5.4,60.1,2,4.2,7,9.3,0,0.0,7,4.1
50 to 59...............................................................,854,19,6.4,66.6,4,8.3,5,6.7,1,25.0,9,5.3
60 to 69...............................................................,381,6,2.0,68.6,0,0.0,2,2.7,0,0.0,4,2.4
70 to 79...............................................................,891,13,4.4,73.0,3,6.3,4,5.3,0,0.0,6,3.6
80 to 89...............................................................,1031,12,4.1,77.0,2,4.2,6,8.0,0,0.0,4,2.4
90 to 99...............................................................,980,11,3.7,80.7,1,2.1,2,2.7,0,0.0,8,4.7
100 to 109...........................................................,831,8,2.7,83.4,0,0.0,4,5.3,0,0.0,4,2.4
110 to 119...........................................................,545,5,1.7,85.1,1,2.1,0,0.0,0,0.0,4,2.4
120 to 129...........................................................,495,5,1.7,86.8,1,2.1,2,2.7,0,0.0,2,1.2
130 to 139...........................................................,525,4,1.4,88.2,3,6.3,0,0.0,0,0.0,1,0.6
140 to 149...........................................................,398,3,1.0,89.2,1,2.1,1,1.3,0,0.0,1,0.6
150 to 159...........................................................,303,2,0.7,89.9,1,2.1,1,1.3,0,0.0,0,0.0
160 to 169...........................................................,499,3,1.0,90.9,1,2.1,1,1.3,0,0.0,1,0.6
170 to 199...........................................................,878,5,1.7,92.6,0,0.0,3,4.0,0,0.0,2,1.2
200 to 299...........................................................,2076,9,3.0,95.6,3,6.3,4,5.3,0,0.0 0.0,2,1.2
300 to 499...........................................................,2468,6,2.0,97.6,4,8.3,0,0.0,0,,2,1.2
500 to 799...........................................................,1061,2,0.7,98.3 100.0,0,0.0,0,0.0,0 0,0.0,2,1.2
800 and Over .....................................................,5672,5,1.7,,3,6.3,1,1.3,,0.0,1,0.6
