Industrial group,All cases,All C cases,CA,CB,CC,CD,CE,CG,CP,All R cases,RC,RM,RD,UD,AC,UC
Mining (total) - per-SIC,301,209,159,42,4,2,0,0,2,80,60,1,19,5,0,7
Construction (total) - per-SIC,1931,1387,,,,,,,,,,,,,,
"Wholesale trade, Retail trade, Local and suburban transit, Motor freight, Water transportation, Air transportation, Communications, Utilities, Finance, Services",,,,,,,,,,,,,,,,
"Total, all industrial groups",13011,9200,,,,,,,,,,,,,,
