row_label,Total proceedings,"Injunction proceedings / Pending in district court Oct 1, 1984",Injunction proceedings / Filed in district court fiscal year 1985,Total dispositions,Disposition of injunctions / Granted,Disposition of injunctions / Denied,Disposition of injunctions / Settled,Disposition of injunctions / Withdrawn,Disposition of injunctions / Dismissed,Disposition of injunctions / Inactive,"Pending in district court Sept 30, 1985"
Under Sec 10(e) total,2,1,1,2,2,0,0,0,0,0,0
Under Sec 10(j) total,41,1,40,39,20,0,15,1,3,0,2
8(a)(1),4,0,4,4,3,0,1,0,0,0,0
8(a)(1)(3),8,0,8,8,4,0,2,1,1,0,0
8(a)(1)(3)(4),4,0,4,4,2,0,2,0,0,0,0
8(a)(1)(3)(5),17,1,16,17,6,0,9,0,2,0,0
8(a)(1)(5),4,0,4,4,4,0,0,0,0,0,0
8(b)(1),4,0,4,2,1,0,1,0,0,0,2
Under Sec 10(l) total,62,13,49,54,23,2,27,1,1,0,8
8(b)(4)(A),1,1,0,0,0,0,0,0,0,0,1
8(b)(4)(A)(B),1,0,1,1,0,0,1,0,0,0,0
"8(b)(4)(A)(B), 8(e)",1,0,1,0,0,0,0,0,0,0,1
8(b)(4)(B),33,5,28,31,13,1,15,1,1,0,2
8(b)(4)(B)(D),3,1,2,3,2,0,1,0,0,0,0
"8(b)(4)(B), 7(C)",1,0,1,1,1,0,0,0,0,0,0
8(b)(4)(D),6,3,3,4,2,0,2,0,0,0,2
"8(b)(4)(D), 7(C)",2,0,2,2,1,0,1,0,0,0,0
8(b)(7)(A),1,0,1,1,0,0,1,0,0,0,0
8(b)(7)(B),1,0,1,1,1,0,0,0,0,0,0
8(b)(7)(C),11,2,9,10,4,0,6,0,0,0,2
8(e),,,,,,,,,,,
