Action taken,Total all,Remedial action taken by — Employer Total,Employer — Pursuant to — Agreement of parties Informal settlement,Employer — Pursuant to — Agreement of parties Formal settlement,Employer — Recommendation of administrative law judge,Employer — Order of Board,Employer — Order of Court,Remedial action taken by — Union Total,Union — Pursuant to — Agreement of parties Informal settlement,Union — Pursuant to — Agreement of parties Formal settlement,Union — Recommendation of administrative law judge,Union — Order of Board,Union — Order of Court
Employees receiving backpay — From either employer or union,18090,17588,13865,387,55,1974,1307,502,119,6,0,270,107
Employees receiving backpay — From both employer and union,54,47,21,0,0,1,25,7,6,0,0,1,0
"Employees reimbursed for fees, dues, and fines — From either employer or union",2705,2092,1999,22,0,71,0,613,598,0,0,14,1
C. By amounts of monetary recovery — Total,36289852,35306519,23338751,719018,134707,4576837,6537206,983333,178543,61623,0,82216,660951
"C — Backpay (including all monetary payments except fees, dues, and fines)",35086439,34158657,22217486,714812,128979,4560174,6537206,927782,132535,61623,0,81173,652451
"C — Reimbursement of fees, dues, and fines",1203413,1147862,1121265,4206,5728,16663,0,55551,46008,0,0,1043,8500
