Industrial group,All cases,Unfair labor practice cases — All C cases,CA,CB,CC,CD,CE,CG,CP,Representation cases — All R cases,RC,RM,RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
Food and kindred products,1925,1611,1195,387,22,4,1,0,2,274,198,24,51,1,13,26
Tobacco manufactures,107,104,79,25,0,0,0,0,0,2,1,0,1,1,0,0
Manufacturing (subtotal — all manufacturing industries),16770,13878,10165,3366,219,56,14,0,30,2653,1780,201,670,58,16,165
