Participating unions,Number of elections,AFL affiliates won — Number,AFL affiliates won — Percent,CIO affiliates won — Number,CIO affiliates won — Percent,Unaffiliated unions won — Number,Unaffiliated unions won — Percent,No union won — Number,No union won — Percent
Total,112,12,10.7,23,20.5,2,1.8,75,67.0
A.F. of L. affiliates,46,12,26.1,,,,,34,73.9
C.I.O. affiliates,49,,,22,44.9,,,27,55.1
Unaffiliated unions,16,,,,,2,12.5,14,87.5
A.F. of L. affiliates—C.I.O. affiliates,1,0,.0,1,100.0,,,0,.0
