Stage and method of disposition,All cases / Number,All cases / Workers involved,Cases filed by A. F. of L. affiliates / Number,Cases filed by A. F. of L. affiliates / Workers involved,Cases filed by C. I. O. affiliates / Number,Cases filed by C. I. O. affiliates / Workers involved,Cases filed by unaffiliated unions / Number,Cases filed by unaffiliated unions / Workers involved,Cases filed by employers / Number,Cases filed by employers / Workers involved
"Cases closed, total",6255,1895231,2813,519179,2723,1035328,659,214305,92,126742
"Before formal action, total",4876,1168206,2184,337822,2112,555238,509,147031,71,117841
"After formal action, total",1410,727025,629,181357,611,470093,150,66674,20,8901
Before hearing,92,24645,28,4088,52,18677,10,1871,2,9
After hearing,111,21159,77,4467,25,10283,7,5562,2,845
After Board decision,1207,681221,524,172802,534,441131,133,59241,16,8047
