Expenditure category,Amount ($)
Salaries,4153719
Travel,406796
Transportation of things,20629
Communication services,145362
Penalty mail costs,14874
Rents and utility services,226088
Printing and binding,174368
Other contractual services,180360
Supplies and materials,91594
Equipment,124717
Grand total obligations and expenditures for salaries and expenses,5538507
