Type of formal action taken,Cases in which formal actions,Total formal actions,CA,CB,CC,CD Jurisdictional dispute,ULP (all C),CE,CP,CA combined with CB,Representation cases,Other C combinations
10(k) notices of hearing issued,78,78,,,,78,,,,,,
Complaints issued,1997,1945,1442,105,14,0,,6,24,100,,20
Backpay specifications issued,41,37,22,11,0,0,,0,0,4,,0
"Hearings completed, total",1002,1068,771,60,38,,31,4,5,15,42,87
"Decisions by trial examiners, total",1037,1084,981,71,45,,3,2,13,44,,18
"Decisions and orders by the Board, total",1603,1023,731,70,61,,23,5,17,30,68,17
