Type of formal action taken,Cases in which formal action taken,Total formal actions taken,CA,CB,CC,CD,CE,CG,CP,CA-CB combined cases,C-combined with strip cases,Other-C combined cases
10(b) notices of hearings issued,47,538,,,,,,,,,,35
Complaints issued,4373,3884,3225,491,62,6,5,9,4,65,4,11
Hearings completed total,1073,672,559,62,11,6,2,1,4,4,,11
Decisions by Administrative Law Judges total,967,636,565,44,7,,5,,,4,5,5
Decisions and orders by the Board total,1060,1050,817,85,27,13,7,0,5,30,46,20
Contested ULP decisions total,1282,635,518,44,10,0,31,0,0,6,13,13
