row_label,Standard Federal regions,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Teamsters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representative chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no union,Eligible voters in elections choosing representation
Standard Federal regions,,,,,,,,,,,,,,,,,
Region I,570,247,137,67,7,36,323,35068,30926,14080,8587,1679,585,3129,16,16846,11200
Region II,1107,509,293,180,26,100,548,62166,54010,23818,13478,4253,1381,8622,24378,28738,28738
Region III,924,428,263,125,18,14,486,60070,53320,23744,16878,5078,2152,5239,25283,27313,27313
Region IV,989,422,291,101,14,16,567,95183,86407,38602,29267,5908,2458,971,47805,33289,33289
