Remedy,All unions,Unions affiliated with A. F. L.,Unions affiliated with C. I. O.,Unaffiliated unions,Individuals
Cases — Notices posted,1187,611,514,28,34
Cases — Company unions disestablished,502,121,375,4,2
Cases — Workers placed on preferential hiring list,185,69,101,2,13
Cases — Collective bargaining begun,1009,593,383,26,7
Workers — Workers reinstated to remedy discriminatory discharge,23475,9517,13151,614,193
Workers — Workers receiving back pay,5181,1925,2547,630,79
Workers — Back pay awards,924761,286540,584521,28860,24840
Workers — Strikers reinstated,24427,11017,13410,,
