Stage / Case-letter,ULP — Number of cases — Total,ULP — A.F.L. affiliates,ULP — C.I.O. affiliates,ULP — Unaffiliated unions,ULP — Individuals,ULP — Employers,REP — Number of cases — Total,REP — A.F.L. affiliates,REP — C.I.O. affiliates,REP — Unaffiliated unions,REP — Individuals,REP — Employers
"CA cases — Pending July 1, 1954",1889,797,424,101,567,,1506,987,372,146,1,0
"CA — Received July 1, 1954–June 30, 1955",4362,1552,974,158,1576,,6995,4059,1602,490,296,548
"CA — On docket July 1, 1954–June 30, 1955",6251,2349,1398,259,2143,102,8501,5046,1974,636,297,548
"CA — Closed July 1, 1954–June 30, 1955",4449,1662,974,176,1535,102,7063,4228,1644,543,215,433
"CA — Pending June 30, 1955",1802,687,424,83,508,100,1438,818,330,93,82,115
"CB cases — Pending July 1, 1954",633,52,12,12,450,107,107,,,,,107
"CB — Received July 1, 1954–June 30, 1955",1382,49,10,23,898,402,548,,,,,548
"CC cases — Pending July 1, 1954",108,9,3,1,2,102,102,0,0,0,102,0
"CC — Received July 1, 1954–June 30, 1955",345,3,2,0,8,326,460,0,4,12,439,5
"CD cases — Pending July 1, 1954",30,4,4,0,0,22,,,,,,
"CD — Received July 1, 1954–June 30, 1955",82,4,4,2,5,73,,,,,,
