Participating unions,Total valid votes cast,Valid votes cast in elections won — Total votes for unions,AFL-CIO,Teamsters,Other national,Other local,Total votes for no union (won),Valid votes cast in elections lost — Total votes for unions,AFL-CIO,Teamsters,Other national,Other local,Total votes for no union (lost)
1-union elections — AFL-CIO,7633,1376,1376,,,,535,1587,1587,,,,4135
1-union elections — Teamsters,8808,830,,830,,,376,735,,735,,,
1-union elections — Other national unions,399,168,,,168,,,,,,87,,
1-union elections — Other local unions,753,272,,,,272,158,187,,,,187,159
1-union elections — Total,15433,2646,1376,830,168,272,1067,3256,1587,735,87,187,8522
2-union elections — Total,708,664,211,113,97,243,9,31,,,,,
3 (or more)-union elections — Total,12,12,12,,,,,,,,,,
Total RM elections,16153,3322,1599,943,265,521,1067,3076,1805,56,87,679,8638
