Petitioning union,Intervening union,Elections / Number,Elections / Percent won by petitioner,Valid votes / Number,Valid votes / Percent won by petitioner
A. F. of L.,C. I. O.,234,47.4,80524,35.6
A. F. of L.,Unaffiliated,118,59.3,37517,49.7
C. I. O.,A. F. of L.,371,66.3,220822,54.4
C. I. O.,Unaffiliated,195,63.1,161798,57.9
Unaffiliated,A. F. of L.,71,63.4,15608,52.7
Unaffiliated,C. I. O.,70,57.1,51561,53.8
