row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
AFL-CIO Teamsters,2281,43 5,992,992,,,,1289,144899,39928,39928,,,,104971
,1100,385,423,,423,,,677,38223,8839,,8839,,,29384
Other national unions,132,47 0,62,,,62,,70,10022,4412,,,4412,,5610
Other local unions,293,56 3,165,,,,165,128,21685,8966,,,,8966,12719
1-union elections,3806,43 1,1642,992,423,62,165,2164,214829,62145,39928,8839,4412,8966,152684
AFL-CIO v AFL-CIO,41,488,20,20,,,,21,6714,2315,2315,,,,4399
AFL-CIO v Teamsters,44,727,32,14,18,,,12,3943,2786,576,2210,,,1157
AFL-CIO v national,22,59 1,13,7,,6,,9,5471,3315,1909,,1406,,2156
AFL-CIO v local,67,88 1,59,36,,,23,8,9747,8761,6136,,,2625,986 173
Teamsters v national,2,00,0,,0,0,,2,173,0,,0,0,,166
Teamsters v local,19,84 2,16,,12,,4,3,"1,000 10",834,,681,,153,0
Teamsters v Teamsters,2,100 0,2,,2,,,0,,10,,10,,,
National v local,4,50 0,,,,2,0,2,356,36,,,36,0,320
,14,,2,,,,12,2,519,497,,,,497,22
Local v local 2-union elections,215,857 726,12 156,77,32,8,39,59,27933,18554,10936,2901,1442,3275,9379
AFL-CIO v AFL-CIO v Teamsters,1,100 0,1,1,0,,,0,30,30,30,0,,,0
AFL-C10 v Teamsters v local,1,100 0,1,0,1,,0,0,29,29,0,29,,0,0
AFL-CIO v national v local,2,1000,2,1,,0,,0,459,459,180,,0,279,0
AFL-CIO v local v local,3,100 0,3,2,,,1 1,0,457,457,258,,,199,0
Teamsters v local v local,2,100 0,2,,1,,1,0,130,130,,84,,46,0
Local v local v local,,100 0,1,,,,1,0,425,425,,,,425,0
,1,,,,,,,,,,,113,0,949,
3 (or more)-union elections,10,100 0,10,4,2,0,4,0,1530,1530,468,,,,0
Total RC elections,4031,44 9,1808,1073,457,70,208,2223,244292,82229,51332,11853,5854,13190,162063
