Action taken,Total all,Remedial action taken by— / Employer / Total,Remedial action taken by— / Employer / Agreement of parties / Informal settlement,Remedial action taken by— / Employer / Agreement of parties / Formal settlement,Remedial action taken by— / Employer / Pursuant to— Recommenda- tions of admin- istrative law judge / Recommenda- tions of admin- istrative law judge,Remedial action taken by— / Employer / Pursuant to— Order of— / Board,Remedial action taken by— / Union / Pursuant to— Order of— / Court,Remedial action taken by— / Union / Total,Remedial action taken by— / Union / Agreement of parties / Informal settlement,Remedial action taken by— / Union / Agreement of parties / Formal settlement,Remedial action taken by— / Union / Pursuant to— Recommenda- tions of admin- istrative law judge / Recommenda- tions of admin- istrative law judge,Pursuant to— Order of— / Board / Court
A. By number of cases involved,10965,,,,,,,,,,,
Notice posting,2902,2420,1887,114,3,286,130,482,395,33,0,36 / 18
Employees offered reinstatement,807,807,670,47,2,53,35,0,0,0,0,0
B. By number of employees affected,,,,,,,,,,,,
"Employees offered reinstatement, total",6603,6600,2953,3263,8,225,154,,,,,
Other action-type,,,,,,,,,,,,
