Industrial group,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Metal mining,84,60,20,21,11,8,,,,20,19,1,,,,
Coal mining,345,291,25,215,11,39,1,,,49,48,1,,2,,
Oil and gas extraction,37,22,16,6,,,,,,12,9,,3,,,
Mining and quarrying of nonmetallic minerals (except fuels),158,115,78,29,5,3,,,,37,33,3,1,,,
Mining,624,488,349,90,30,11,1,,,127,111,5,8,3,1,6
Construction,4331,3855,1569,1061,842,224,12,42,,151,433,316,37,3,11,13
Wholesale trade,1196,780,606,152,8,9,1,4,,284,253,7,12,4,,
Retail trade,3538,2459,2181,234,19,13,2,8,,896,759,37,112,13,1,8
"Finance, insurance, and real estate",690,403,331,59,10,,2,1,,229,190,21,18,11,,
U.S. Postal Service,1127,1027,800,221,9,,,,,8,5,3,,,,
Local and suburban transit and interurban highway passenger transportation,619,457,325,112,11,5,,,,155,138,7,10,2,,
Motor freight transportation and warehousing,3820,2507,1743,694,111,29,,1,,1008,815,92,101,70,1,8
