Method and stage of disposition,All cases / Number,All cases / Percent of total method,CA cases / Number,CA cases / Percent of total closed,CB cases / Number,CB cases / Percent of total closed,CC cases / Number,CC cases / Percent of total closed,CD cases / Number,CD cases / Percent of total closed,CE cases / Number,CE cases / Percent of total closed,CG cases / Number,CG cases / Percent of total closed,CP cases / Number,CP cases / Percent of total closed
Total number of cases closed,31775,100.0,23862,100.0,7004,100.0,522,100.0,241,100.0,28,100.0,27,100.0,91,100.0
Agreements of compliance,10234,32.2,8870,37.1,1059,15.1,242,46.3,3,1.2,12,42.8,9,33.3,29,31.8
Informal settlement,10164,32.0,8834,37.0,1053,15.0,238,45.5,3,1.2,12,42.8,9,33.3,29,31.8
"Other rows (formal settlement, stipulated decision, consent decree, compliance, etc.)",,,,,,,,,,,,,,,,
