row_label,col_1,col_2,col_3,col_4
Cases decided by U S courts of appeals,198,100 0,2475,100 0
Board orders enforced in full,113,57 1,1425,57 6
Board orders enforced e ith modification,34,17 2,493,19 9
Remanded to Board,,35,94,38
Board orders partially enforced and partially remanded_ --,,35,30,12
Board orders set aside,37,18 7,433,17
Cases decided by U S Supreme Court,4,100 0,146,100 0
Board orders enforced in full,3,75 0,91,62 3
Board orders enforced with modification,0,0,13,89
Board orders set aside,,25 0,25,17 1
Remanded to Board,,0,3,21
Remanded to court of appeals,,0,11,75
Board's request for remand or modification of enforcement order denied,,,,7
Contempt case remanded to court of appeals,,,,7
Contempt cases enforced,,,1,7
