Union affiliation,Elections participated in / Total,Elections participated in / Resulting in certification — Number,Elections participated in / Resulting in certification — Percent of total,Elections participated in / Resulting in de-certification — Number,Elections participated in / Resulting in de-certification — Percent of total,Employees involved in elections (number eligible to vote) / Total eligible,Employees involved in elections (number eligible to vote) / Resulting in certification — Number,Employees involved in elections (number eligible to vote) / Resulting in certification — Percent of total eligible,Employees involved in elections (number eligible to vote) / Resulting in de-certification — Number,Employees involved in elections (number eligible to vote) / Resulting in de-certification — Percent of total eligible,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for the union — Number,Cast for the union — Percent of total cast
Total elections,129,40,31.0,89,69.0,11289,5691,50.4,5598,49.6,10289,91.1,5528,53.7
AFL,48,12,25.0,36,75.0,2278,1164,51.1,1114,48.9,2111,92.7,1028,48.7
AFL-CIO,47,16,34.0,31,66.0,5479,3509,64.0,1970,36.0,5000,91.3,2863,57.3
CIO,26,11,42.3,15,57.7,2996,1910,64.1,1086,35.9,2666,89.0,1158,44.6
Unaffiliated,8,1,12.5,7,87.5,536,108,20.1,428,79.9,512,95.5,449,87.7
