row_label,Division and State,All cases,All-C (ULP) cases,CA,CB,CC,CD,CE,CG,CP,All-R (Representation) cases,RC,RM,RD,UD,AC,UC
Washington,874,676,473,191,9,0,0,0,0,3,184,124,7,53,8,0,6
Oregon,433,302,195,75,22,6,1,0,0,3,100,53,4,41,0,0,0
California,4565,3613,2420,1025,128,88,32,3,1,54,700,521,60,119,6,4,25
Alaska,140,122,105,13,4,0,0,0,0,1,22,11,7,4,0,0,0
Hawaii,200,215,135,60,8,0,6,1,0,0,38,22,3,13,1,0,0
Guam,5,4,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0
Pacific — Division subtotal,6073,4914,3330,1302,132,44,9,2,0,45,1087,755,78,214,39,1,34
Puerto Rico,286,209,75,51,5,2,1,0,0,6,49,73,11,5,0,0,1
Virgin Islands,4,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
Outlying Areas — subtotal,305,210,172,51,5,2,1,0,0,6,53,79,11,5,0,0,1
"Total, all States and areas — GRAND TOTAL FY1991",38923,32271,23005,7921,731,236,148,19,11,211,6223,4902,260,1061,133,22,274
