row_label,Participating unions,Total valid votes cast,Valid votes cast in elections won — Total,Valid votes cast in elections won — AFL-CIO unions,Valid votes cast in elections won — Teamsters,Valid votes cast in elections won — Other national unions,Valid votes cast in elections won — Other local unions,Total votes for unions (won),Valid votes cast in elections lost — Total,Valid votes cast in elections lost — AFL-CIO unions,Valid votes cast in elections lost — Teamsters,Valid votes cast in elections lost — Other national unions,Valid votes cast in elections lost — Other local unions,Total votes for unions (lost)
Total representation elections,454133,235381,151516,32444,32842,36579,85966,70865,9360,4740,1001,155914,,
1-union elections — Total,382853,109682,82858,18673,5677,2477,54352,77438,64175,8429,4085,769,141360,
1-union elections — AFL-CIO,303916,82858,82858,,,,43291,64175,64175,,,,,
1-union elections — Teamsters,51430,18673,,18673,,,7260,8429,,8429,,,,
1-union elections — Other national unions,19615,5677,,,5677,,2366,4085,,,4085,,,
1-union elections — Other local unions,5883,2477,,,,2477,1435,769,,,,769,,
2-union elections — Total,162455,135884,64843,12733,26694,31594,,1115,,,,,,
2-union elections — AFL-CIO v AFL-CIO,24611,15719,9710,,,,,923,,,,,,
2-union elections — AFL-CIO v Teamsters,43851,30801,18701,12100,,,,1054,,,,,,
3 (or more)-union elections — Total,8623,7812,3815,1018,471,2508,322,164,134,21,9,,325,
