row_label,Number of cases / Total,Number of cases / Identification of complainant or petitioner / A. F. of L. affiliate,Number of cases / Identification of complainant or petitioner / C. I. O. affiliate,Number of cases / Identification of complainant or petitioner / Unaffiliated union,Number of cases / Identification of complainant or petitioner / Individual or employer,Total number of workers involved
"All cases — Cases pending July 1, 1942",2860,1113,1403,217,130,
All cases — Cases received July 1942-June 1943,9543,3729,4287,1115,420,
All cases — Cases on docket July 1942-June 1943,12403,4842,5690,1332,550,
All cases — Cases closed July 1942-June 1943,9777,3897,4496,945,450,
"All cases — Cases pending June 30, 1943",2626,945,1194,387,100,
"Unfair labor practice cases — Cases pending July 1, 1942",1774,674,904,82,116,2110769
Unfair labor practice cases — Cases received July 1942-June 1943,3403,1249,1482,311,364,5806610
Unfair labor practice cases — Cases on docket July 1942-June 1943,5177,1923,2386,393,480,7917379
Unfair labor practice cases — Cases closed July 1942-June 1943,3849,1470,1738,261,385,5378802
"Unfair labor practice cases — Cases pending June 30, 1943",1328,453,648,132,95,2538577
"Representation cases — Cases pending July 1, 1942",1086,439,499,135,14,569783
Representation cases — Cases received July 1942-June 1943,6140,2480,2805,804,56,2229861
Representation cases — Cases on docket July 1942-June 1943,7226,2919,3304,939,70,2799644
Representation cases — Cases closed July 1942-June 1943,5928,2427,2758,684,65,2213694
"Representation cases — Cases pending June 30, 1943",1298,492,546,255,5,585950
