row_label,Type of litigation,Number of proceedings / Total—all courts / Num- ber de- cided,Number of proceedings / Total—all courts / Up- holding NLRB posi- tion,Number of proceedings / Total—all courts / Con- trary to NLRB posi- tion,Number of proceedings / In courts of appeals / Num- ber de- cided,Number of proceedings / In courts of appeals / Up- holding NLRB posi- tion,Number of proceedings / In courts of appeals / Con- trary to NLRB posi- tion,Number of proceedings / In district courts / Num- ber de- cided,Number of proceedings / In district courts / Men- tion of NLRB,Number of proceedings / In district courts / Up- holding NLRB posi- tion,Number of proceedings / In district courts / Con- trary to NLRB posi- tion,Number of proceedings / In bankruptcy courts / Court deter- mina- tion,Number of proceedings / In bankruptcy courts / Up- holding NLRB posi- tion,Number of proceedings / In bankruptcy courts / Con- trary to NLRB posi- tion
Totals—all types,27,23,4,14,12,2,12,11,2,1,,1,0,0
NLRB-initiated actions or interventions,5,4,1,3,2,1,2,2,0,0,0,0,0,0
Actions by other parties,22,19,3,11,10,1,10,9,2,1,,1,0,0
To compel NLRB to,14,13,1,7,7,0,7,6,1,0,0,0,0,0
Other,3,3,0,1,1,0,2,2,0,0,0,0,0,0
