Method and stage of disposition,All R cases / Number,All R cases / Percent,RC cases / Number,RC cases / Percent,RM cases / Number,RM cases / Percent,RD cases / Number,RD cases / Percent,UD cases / Number,UD cases / Percent
"Total, all",13438,100.0,11359,100.0,1024,100.0,1055,100.0,180,100.0
"Certification issued, total",9081,67.6,8116,71.4,506,49.4,459,43.5,95,52.8
After:,,,,,,,,,,
Consent agreement,1892,14.1,1684,14.8,78,7.6,109,10.3,21,
"Before notice of hearing, after hearing closed",1100,8.2,1016,8.9,37,3.5,47,5.4,8,4.4
"After notice of hearing, before hearing closed",791,5.8,667,5.7,41,4.0,62,4.9,3,1.7
"After hearing closed, before decision",1,,1,,0,,0,,0,
Stipulated election,5386,40.1,4882,42.7,280,27.3,204,24.1,16,8.9
"Before notice of hearing, after hearing closed",2180,16.2,1932,17.0,118,11.5,122,11.6,8,4.4
"After notice of hearing, before hearing closed",3166,23.5,2924,25.8,103,10.1,129,12.2,8,4.4
"After hearing closed, before decision",40,0.3,26,0.2,,,,,,
Expedited election,30,0.2,9,0.1,21,2.0,0,,0,
Regional director-directed election,1643,12.2,1476,13.0,82,8.0,129,12.2,56,31.1
Board-directed election,130,1.0,115,1.0,8,0.8,4,0.4,3,1.7
"By withdrawal, total",3358,25.0,2630,23.2,359,35.1,369,35.1,65,36.1
Before notice of hearing,1970,13.9,1335,11.7,262,25.6,273,23.9,53,
"After notice of hearing, before hearing closed",1227,9.1,1077,9.5,73,7.1,75,7.6,2,1.1
"After hearing closed, before decision",146,1.1,133,1.2,8,0.8,5,0.5,0,
After decision and direction of election,13,0.1,10,0.1,1,0.1,1,0.1,1,
"By dismissal, total",999,7.4,613,5.4,159,15.5,227,21.5,20,11.1
Before notice of hearing,565,4.2,277,2.4,115,11.2,173,16.4,0,
"After notice of hearing, before hearing closed",113,0.8,58,0.5,25,2.4,29,2.8,1,
"After hearing closed, before decision",86,0.6,63,0.6,6,0.6,10,0.9,0,
By regional director's decision,218,1.6,188,1.6,10,1.0,5,0.5,15,8.3
By Board decision,35,0.3,30,0.3,3,0.3,1,0.1,1,
