Size of unit (number of employees),Number eligible to vote,Total elections,Percent of total elections,Cumulative percent of total elections,Elections in which representation rights were won by — AFL-CIO unions — Number,Elections in which representation rights were won by — AFL-CIO unions — Percent by size class,Elections in which representation rights were won by — Other national unions — Number,Elections in which representation rights were won by — Other national unions — Percent by size class,Elections in which representation rights were won by — Other local unions — Number,Elections in which representation rights were won by — Other local unions — Percent by size class,Elections in which no representative was chosen — Number,Elections in which no representative was chosen — Percent by size class
A. Certification elections (RC and RM) — Total RC and RM elections,228671,3339,100.0,,1515,,53,,141,,1630,
Under 10,3769,666,19.9,19.9,381,25.1,5,9.4,23,16.3,257,15.8
10 to 19,9678,678,20.3,40.2,371,24.5,11,20.8,22,15.7,274,16.8
20 to 29,9505,394,11.8,52.0,174,11.5,1,1.9,14,9.9,205,12.5
30 to 39,7860,231,6.9,58.9,101,6.7,4,7.5,15,10.6,111,6.8
100 to 109,7086,68,2.0,84.3,19,1.3,2,3.8,2,1.4,45,2.8
"1,000 to 1,999",12610,9,0.3,99.6,4,0.3,0,0,0,0,5,0.3
