row_label,Total elections,Percent won,Elections won by unions — Total won,Elections won by unions — AFL-CIO unions,Elections won by unions — Teamsters,Elections won by unions — Other national unions,Elections won by unions — Other local unions,Elections in which no representative chosen,Employees eligible to vote — Total,Employees eligible to vote — In elections won,Employees eligible to vote — In units won by AFL-CIO,Employees eligible to vote — Teamsters,Employees eligible to vote — Other national unions,Employees eligible to vote — Other local unions,Employees eligible to vote — In elections in which no representative chosen
3 (or more)-union elections,29,86.2,25,11,1,3,10,4,9279,8586,2610,98,1820,4058,693
Total representation elections,8198,45.7,3744,2123,1052,207,262,4454,,,120983,33290,20569,21653,325087
RC 1-union — AFL-CIO,3772,47.2,1782,1782,,,,,255891,84453,84453,,,,171438
RC 1-union — Teamsters,2080,43.9,937,,937,,,,,,,24625,,,56290
RC 1-union — Other national unions,482,51.0,246,,,246,,,,,,,14017,,
RC 1-union — Other local unions,300,57.0,171,,,,171,,,,,,,7430,
RC 1-union elections (subtotal),6610,47.4,3136,1782,937,246,171,3474,497539,84453,84453,24625,14017,7430,277004
RC 2-union elections (subtotal),384,78.6,282,142,44,31,65,102,55097,33931,17416,4305,2761,9179,21166
