row_label,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Teamsters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representative was chosen,Number of eligible employees to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no representation,Eligible employees represented by unions choosing representation
Nevada,64,4,2,0,0,0,10,967,905,193,150,43,0,0,712,107
Mountain,150,64,44,14,0,0,86,7036,6430,2535,1700,464,55,64,3895,2000
Washington,95,39,23,9,2,5,56,3873,3166,1719,1109,271,77,262,1447,2134
Oregon,50,24,14,7,1,2,26,1492,1236,479,211,172,41,67,847,645
California,425,187,132,31,6,20,201,19742,17479,8704,4802,2842,290,767,8775,8839
Alaska,27,16,11,5,0,0,9,734,658,356,187,76,9,0,302,617
Hawaii,13,10,3,1,0,6,3,1050,715,417,21,1,77,318,285,418
Guam,3,1,1,0,0,0,2,2,1701,1543,426,390,0,0,1115,112
Pacific,613,278,162,77,9,30,335,29151,24777,12369,7031,3493,456,1419,12408,13255
Puerto Rico,50,20,9,1,2,18,22,4317,3794,2296,663,88,333,1212,1498,2674
Virgin Islands,2,2,1,1,0,0,0,0,,,,,,,,
Outlying Areas,52,22,10,2,2,18,22,4317,3794,2296,663,88,333,1212,1498,2674
"Total, all States and areas",3769,1745,1048,481,44,172,2004,217135,192392,89699,60392,17344,3020,8353,102693,78073
