Union affiliation,Elections participated in — Total,Elections participated in — Resulting in certification — Number,Elections participated in — Resulting in certification — Percent of total,Elections participated in — Resulting in decertification — Number,Elections participated in — Resulting in decertification — Percent of total,Employees involved in elections (number eligible to vote) — Total eligible,Employees involved — Resulting in certification — Number,Employees involved — Resulting in certification — Percent of total eligible,Employees involved — Resulting in decertification — Number,Employees involved — Resulting in decertification — Percent of total eligible,Valid votes cast — Total,Valid votes cast — Percent of total eligible,Cast for the union — Number,Cast for the union — Percent of total cast
Total,153,59,38.6,94,61.4,10124,5625,55.6,4499,44.4,9082,89.7,4295,47.3
AFL-CIO,131,55,42.0,76,58.0,9434,5477,58.1,3957,41.9,8457,89.6,4055,47.9
Unaffiliated,22,4,18.2,18,81.8,690,148,21.4,542,78.6,625,90.6,240,38.4
