Decision type,FY1983 — Number of proceedings — Total,FY1983 — Number of proceedings — Vs employers only,FY1983 — Number of proceedings — Vs unions only,FY1983 — Number of proceedings — Vs both employers and unions,FY1983 — Number of proceedings — Board dismissal,FY1983 — Percentages — Vs employers only,FY1983 — Percentages — Vs unions only,FY1983 — Percentages — Vs both employers and unions,FY1983 — Percentages — Board dismissal,"Cumulative July 1, 1935 - Sept 30, 1983 — Number","Cumulative July 1, 1935 - Sept 30, 1983 — Percent"
Proceedings decided by U.S. Courts of Appeals (total),372,337,30,2,3,,,,,,
On petitions for review and/or enforcement,338,307,26,2,3,100.0,100.0,100.0,100.0,8007,100.0
Board orders affirmed in full,227,209,23,2,3,68.1,88.5,100.0,100.0,5686,62.8
Board orders affirmed with modification,35,33,0,0,0,8.8,0,0,0,1334,17.0
Board orders remanded to Board,20,20,0,0,0,6.5,0,0,0,426,5.4
Board orders partially affirmed and partially remanded,12,10,2,0,0,3.3,7.7,0,0,163,2.1
Board orders set aside,42,35,1,0,0,13.3,3.8,0,0,1298,14.6
On petitions for contempt (subtotal),34,30,4,0,0,100.0,100.0,0,0,,
Proceedings decided by U.S. Supreme Court (subtotal),5,3,2,0,0,100.0,100.0,0,0,239,100.0
