State / Census Division,Col1 Total all cases,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14
South Atlantic — West Virginia,302,,,,,,,,,,,,,
South Atlantic — Division total,2888,,,,,,,,,,,,,
East South Central — Division total,1990,,,,,,,,,,,,,
West South Central — Division total,2861,,,,,,,,,,,,,
Mountain — Division total,1756,,,,,,,,,,,,,
Pacific — Division total,6737,,,,,,,,,,,,,
Outlying Areas — Division total,405,,,,,,,,,,,,,
"Total, all States and areas",37212,23770,15467,,,,,,,,,,,
