row_label,Category,Amount
Personnel compensation,Personnel compensation,31349579
Personnel benefits,Personnel benefits,2392674
Travel and transportation of persons,Travel and transportation of persons,1558384
Transportation of things,Transportation of things,29705
"Rent, communications, and utilities","Rent, communications, and utilities",1207111
Printing and reproduction,Printing and reproduction,784569
Other services,Other services,1105915
Supplies and materials,Supplies and materials,298350
Equipment,Equipment,190637
Insurance claims and indemnities,Insurance claims and indemnities,11323
"Subtotal, obligations and expenditures","Subtotal, obligations and expenditures",38928247
Transferred to other accounts (GSA),Transferred to other accounts (GSA),126666
Total Agency,Total Agency,39054913
Personnel compensation (reimbursable),Personnel compensation,22167
Personnel benefits (reimbursable),Personnel benefits,1658
Travel and transportation of persons (reimbursable),Travel and transportation of persons,193
"Rent, communications, and utilities (reimbursable)","Rent, communications, and utilities",302
Total obligations and expenditures (reimbursable),Total obligations and expenditures,24320
