row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"Pending October I, 1984",". 1,907",1180,441,"82 ,",201,3,
Received fiscal 1985,5623,3218,1760,173,468,4,
On docket fiscal 1985,7530,4398,2201,255,669,7,
Closed fiscal 1985,5566,3211,1691,178,483,3,
"Pending September 30, 1985",1964,1187,510,77,186,,
,RMcases,RMcases,RMcases,RMcases,RMcases,RMcases,RMcases
"Pending October I, 1984",.202,,,,,,202
Received fiscal 1985,586,,,,,,586
On docket fiscal 1985,788,,,,,,788
Closed fiscal 1985,573,,,____,----- ____,____,573
"Pending September 30, 1985",215,,,,,,215
,RD cases,RD cases,RD cases,RD cases,RD cases,RD cases,RD cases
"Pending October 1, 1984",.462,2,0,0,3,457,
Received fiscal 1985,1675,8,2,2,10,1653,
On docket fiscal 1985,2137,10,2,2,13,2110,
Closed fiscal 1985,1668,7,2,2,5,1652,
"Pending September 30, 1985",469,3,0,0,8,458,
