Status of cases,Total,Identification of filing party — AFL-CIO Unions,Identification of filing party — Other National Unions,Identification of filing party — Other local Unions,Identification of filing party — Individuals,Identification of filing party — Employers
"All Cases — Pending October 1, 2000",26939,16941,778,872,7325,1023
All Cases — Received fiscal 2001,33534,18884,935,870,11292,1553
All Cases — On docket fiscal 2001,60473,35825,1713,1742,18617,2576
All Cases — Closed fiscal 2001,35324,20013,979,919,11805,1608
"All Cases — Pending September 30, 2001",25149,15812,734,823,6812,968
"Unfair labor practice cases — Pending October 1, 2000",24968,15656,710,784,6919,899
Unfair labor practice cases — Received fiscal 2001,28124,14968,745,661,10354,1396
Unfair labor practice cases — On docket fiscal 2001,53092,30624,1455,1445,17273,2295
Unfair labor practice cases — Closed fiscal 2001,29820,16018,767,688,10904,1443
"Unfair labor practice cases — Pending September 30, 2001",23272,14606,688,757,6369,852
"Representation cases — Pending October 1, 2000",1782,1200,41,78,365,98
Representation cases — Received fiscal 2001,5057,3742,176,195,820,124
Representation cases — On docket fiscal 2001,6839,4942,217,273,1185,222
Representation cases — Closed fiscal 2001,5157,3827,174,212,804,140
"Representation cases — Pending September 30, 2001",1682,1115,43,61,381,82
