Type of election,All R elections / Total elections conducted,All R elections / Withdrawn or dismissed before certification,All R elections / Resulting in a rerun or runoff,All R elections / Resulting in certification,RC elections / Total elections conducted,RC elections / Withdrawn or dismissed before certification,RC elections / Resulting in a rerun or runoff,RC elections / Resulting in certification,RM elections / Total elections conducted,RM elections / Withdrawn or dismissed before certification,RM elections / Resulting in a rerun or runoff,RM elections / Resulting in certification,RD elections / Total elections conducted,RD elections / Withdrawn or dismissed before certification,RD elections / Resulting in a rerun or runoff,RD elections / Resulting in certification
All types,8916,94,245,8577,8052,92,231,7729,338,2,4,332,526,0,10,516
Rerun required,182,,,,175,,,,,,,,,,,
Runoff required,63,,,,56,,,,,,,,,,,
Consent elections,1008,5,11,992,883,5,10,865,55,0,0,55,72,0,0,72
Stipulated elections,6094,62,178,5854,5635,60,169,5394,209,2,2,205,365,0,10,355
Regional director-directed,1713,27,52,1634,1569,27,51,1491,55,0,1,54,89,0,0,89
Board-directed,86,0,4,82,79,0,4,75,7,0,0,7,0,0,0,0
Expedited—sec. 8(b)(7)(C),15,,,15,0,,,,12,,,,,,,
