row_label,Type of proceeding,Fiscal year 1967 — Number of proceedings — Total,Fiscal year 1967 — Number of proceedings — Vs employers only,Fiscal year 1967 — Number of proceedings — Vs unions only,Fiscal year 1967 — Number of proceedings — Vs both employers and unions,Fiscal year 1967 — Number of proceedings — Board dismissals,Fiscal year 1967 — Percentages — Vs employers only,Fiscal year 1967 — Percentages — Vs unions only,Fiscal year 1967 — Percentages — Vs both employers and unions,Fiscal year 1967 — Percentages — Board dismissals,Fiscal year 1967 — Percentages — Total,July 5 1935 — June 30 1967 — Number,July 5 1935 — June 30 1967 — Percent
Proceedings decided by U.S. courts of appeals,264,212,30,4,13,,,,,,,,
On petitions for review and/or enforcement,244,197,30,4,13,100.0,100.0,100.0,100.0,100.0,3408,100.0,
Board orders affirmed in full,132,118,16,1,8,59.9,80.0,25.0,61.5,60.7,1949,57.2,
Board orders affirmed with modification,79,73,6,0,1,36.8,20.0,0.0,7.7,30.0,677,19.9,
Remanded to Board,4,2,2,0,0,1.0,6.7,0.0,0.0,0.0,156,4.6,
Board orders partially affirmed and partially remanded,6,2,4,0,0,1.0,13.3,0.0,0.0,0.0,158,4.6,
Board dismissed,32,23,2,3,4,11.7,6.7,75.0,30.8,7.7,561,17.1,
On petitions for contempt,20,15,0,0,0,100.0,,,,100.0,,,
Proceedings decided by U.S. Supreme Court,7,4,,,,,,,,100.0,167,100.0,
Board orders affirmed in full (Supreme Court),3,3,,,,75.0,,,,,104,62.3,
Board orders remanded (Supreme Court),2,0,,,,,,,,,28,16.8,
