row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Decisions on objections and/or challenges, total",437,426,362,5,59,1
By Regional Directors,58,56,45,1,10,o
By Board,379,370,317,4,49,1
In stipulated elections,343,334,284,4,46,1
No exceptions to Regional Directors' reports Exceptions to Regional Directors' reports,214 129,209 125,172 112,4 0,33 13,1 0
In directed elections (after. transfer by Regional Director),30,30,27,0,3,0
Review of Regional Directors' supplemental decisions Request for review received Withdrawn before request ruled upon,59 2,58 2,52 2,1 0,5 0,o o
"Board action on request ruled upon, total",52,51,44,1,6,0
Granted,6,6,6,o,o,o
Denied,39,39,33,1,5,o
Remanded,7,6,5,,,
,,,,o,1,o
"Withdrawn after request granted, before Board review .",0,0,0,0,0,0
"Board decision after review, total .",6,6,6,o,0,0
Regional Directors' decisions' Affinned ...... .........,3,3,3,o,0,o
Modified,I,1,1,o,o,o
Reversed,2,2,2,o,0,0
