row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
Accepted Declined,"3,879 1,528","3,879 1,528","2,586 828",39 13,0 0,462 276,802 411,,,,,,
Employe& placed on preferential hiring list,250,260,150,30,3,29,38,,,,,,
Hiring hall rights re- stored,47,,,,,,,47,42,0,0,1,4
Objections to em- ployment with- drawn,129,,,,,,,129,66,5,0,43,15
Employees receiving backpay: From either em- ployer or union,6741,6215,3776,303,4,1027,1.105,526,155,16,0,27,329
From both em- ployer and union,17,1,1,0,0,0,0,16,6,1,0,7,2
"Employees reim- bursed for fees, dues, and fines: From either em- ployer or union",2249,1235,590,91,0,181,373,1014,893,6,0,13,102
From both em- ployer and union,576,340,236,0,0,0,104,236,236,0,0,0,0
"C. By amounts of mone- tary recovery, total",5989010,5714390,3400070,275520,6770,426530,1605500,274620,130880,43730,0,31820,68190
"Backpay (includes all monetary payments except fees, dues, and fines)",5876670,6642190,3367910,272380,6770,417740,1577390,234480,99940,42760,0,30350,61430
"Reimbursement of fees, dues, and fines",112340,72200,32160,3140,0,8790,28110,40140,30940,970,0,1470,6760
