Method and stage of disposition,All C cases / Number,All C cases / Percent of total closed,CA cases / Number,CA cases / Percent of total closed,CB cases / Number,CB cases / Percent of total closed,CC cases / Number,CC cases / Percent of total closed,CD cases / Number,CD cases / Percent of total closed,CE cases / Number,CE cases / Percent of total closed,CG cases / Number,CG cases / Percent of total closed,CP cases / Number,CP cases / Percent of total closed
Administrative law judge's decision,46,0.1,34,0.1,9,0.1,3,0,0,,0,,0,,0,
Board decision,491,1.5,452,0.2,411,1.7,68,0.9,10,1.6,0,,0,,0,
Adopting administrative law judge's decision (no exceptions filed),251,0.8,207,0.8,204,0.8,41,0.5,2,0.3,0,,1,3.7,0,
Contested,240,0.7,205,0.8,29,0.2,0,,2,0.3,0,,1,3.7,0,
Circuit court of appeals decree,274,0.8,237,0.9,25,0.1,12,0,0,,0,,0,,0,
Supreme Court action,4,0,4,0,0,,0,,0,,0,,0,,0,
Withdrawn,9951,30.8,7705,32.5,2014,26.2,177,28.3,1,,9,25.7,10,37.0,35,32.1
Before issuance of complaint,9667,29.9,7495,31.6,1969,25.7,174,27.8,1,,,,1,3.7,27,24.8
"After issuance of complaint, before opening of hearing",259,0.8,212,0.8,40,0.5,2,0.3,0,,3,,2,,0,
"After hearing opened, before administrative law judge's decision",18,0.1,13,0.1,5,0,0,,0,,0,,0,,0,
"After administrative law judge's decision, before Board decision",7,0,7,0,0,,0,,0,,0,,0,,0,
After Board decision,0,,0,,0,,0,,0,,0,,0,,0,
Dismissed,11476,35.5,10.0,6377,29.0,4445,58,17.3,108,,0,,6,22.2,28,25.7
Before issuance of complaint,11271,34.8,6873,28.6,4399,57.4,105,16.8,,,0,,6,22.2,27,24.7
"After issuance of complaint, before opening of hearing",122,0.4,88,0.3,32,0,0,,0,,0,,0,,2,
"After hearing opened, before administrative law judge's decision",8,0,0,,1,,0,,0,,0,,0,,0,
After administrative law judge's decision,75,0.2,,,,,,,,,,,,,,
Adopting administrative law judge's decision (no exceptions filed),39,0.1,34,0.1,5,0.1,0,,0,,0,,0,,0,
Contested,24,0.1,21,0.1,3,0,0,,0,,0,,0,,0,
