Division and State,Total,Number of elections in which representation rights were won by / AFL-CIO affiliates,Number of elections in which representation rights were won by / Unaffiliated unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for / AFL-CIO affiliates,Valid votes cast for / Unaffiliated unions,Valid votes cast for / No union,Employees in units choosing representation
South Atlantic,695,218,143,334,62131,56694,18892,5151,26866,23140
East South Central,318,99,72,147,24632,22537,9163,2247,11127,10712
West South Central,401,145,68,188,33246,30723,10580,6223,13830,15329
Mountain,290,119,57,114,14474,13063,5842,2278,4970,7062
Pacific,807,290,150,367,57850,53668,28036,6301,19233,30609
Outlying areas,239,102,63,74,12754,11033,5748,2384,3013,9945
