Method and stage of disposition,All C cases Number,All C cases Percent of total closed,CA cases Number,CA cases Percent of total closed,CB cases Number,CB cases Percent of total closed,CC cases Number,CC cases Percent of total closed,CD cases Number,CD cases Percent of total closed,CE cases Number,CE cases Percent of total closed,CG cases Number,CG cases Percent of total closed,CP cases Number,CP cases Percent of total closed
Supreme Court action (carryforward from previous page),15,0.0,14,0.1,0,0.0,0,0.0,0,0.0,0,0.0,1,1.5,0,0.0
Withdrawal,11709,31.0,8296,30.5,2894,33.4,376,30.4,0,0.0,25,38.5,10,30.3,108,34.1
Withdrawal — Before issuance of complaint,11319,30.0,7966,29.3,2849,32.9,365,29.5,0,0.0,25,38.5,10,30.3,104,32.9
"Withdrawal — After issuance of complaint, before opening of hearing",368,1.0,308,1.1,45,0.5,11,0.9,0,0.0,0,0.0,0,0.0,4,1.3
"Withdrawal — After hearing opened, before issuance of ALJ decision",22,0.0,22,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Dismissal,13534,37.8,10000,36.8,4094,47.3,214,17.3,0,0.0,19,29.2,5,15.2,84,26.6
Dismissal — Before issuance of complaint,12982,34.4,9499,35.0,4016,46.4,210,17.0,0,0.0,19,29.2,5,15.2,84,26.6
"Dismissal — After issuance of complaint, before opening of hearing",179,0.5,133,0.4,42,0.5,4,0.3,0,0.0,0,0.0,0,0.0,0,0.0
Dismissal — By administrative law judge's decision,12,0.0,11,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Dismissal — By Board decision (subtotal),330,0.9,265,1.0,59,0.7,0,0.0,0,0.0,1,1.5,0,0.0,5,1.6
Dismissal — By Board decision Adopting ALJ decision (no exceptions filed),9,0.0,8,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Dismissal — By Board decision Contested,321,0.9,257,1.0,58,0.7,0,0.0,0,0.0,1,1.5,0,0.0,5,1.6
Dismissal — By circuit court of appeals decree,29,0.1,25,0.1,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Dismissal — By Supreme Court decision,2,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10(k) actions (see Table 7A — other or Board action achieved firm went out of business),313,0.8,0,0.0,0,0.0,0,0.0,313,98.1,0,0.0,0,0.0,0,0.0
