Union affiliation,Elections participated in / Total,Elections participated in / Resulting in certification / Number,Elections participated in / Resulting in certification / Percent of total,Elections participated in / Resulting in decertification / Number,Elections participated in / Resulting in decertification / Percent of total,Employees involved in elections (number eligible to vote) / Total eligible,Employees involved in elections (number eligible to vote) / Resulting in certification / Number,Employees involved in elections (number eligible to vote) / Resulting in certification / Percent of total eligible,Employees involved in elections (number eligible to vote) / Resulting in decertification / Number,Employees involved in elections (number eligible to vote) / Resulting in decertification / Percent of total eligible,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for the union / Number,Valid votes cast / Cast for the union / Percent of total cast
Total elections,101,27,26.7,74,73.3,7378,3333,45.2,4045,54.8,6534,88.6,3069,47.0
A.F.L.,61,14,23.0,47,77.0,2801,432,15.4,2369,84.6,2533,90.5,940,37.0
C.I.O.,29,10,34.5,19,65.5,3684,2640,71.7,1044,28.3,3220,87.4,1835,57.0
Unaffiliated,11,3,27.3,8,72.7,893,261,29.2,632,70.8,776,86.9,294,37.9
