row_label,col_1,col_2,col_3
Petroleum Navigation Co Do,"Oct. 31,1938 do do -","Nov. 1, 1938","Jan. 20,1939:"
Do Postal Telegraph-Cable Co,,do,Do.
,"6,1938",do,Do.
Portland Lumber Mills,"Oct. Dec. 9,1938","Oct. 6, 1938 Dec.",Nov. 22 1938 A pr.
,,"12,1938","11,1939,"
Port of Los Angeles Stevedoring &Ballast Co,"Jan. 30, 1939","Jan. 31,1939",(0
Port Oxford Cedar Co,"Apr. 3,1939",Apr. 4.1939,"June 14, 1939'"
"P. F. Soto Shipping Co., Ltd., et al","Jan. 30, 1939 May 11,1939","Jan. 31, 1939",(0 •
Philadelphia Inquirer Co Philadelphia Record Co,do,"May 19, 1939 do",(I) (I)
Piedmont Granite Quarries,"July 25, 1938","July 26,1938 July","Sept. 21, 1938. Sept."
Pine Mountain Granite Co Pittsburgh Plate Glass Co,"July 18,1938 do","19,1938","15,1938. Jan. 13,1939'"
,,"Oct. 14,1938",
"Premier Furnace Co Principal Productions, Inc","May 25,1939","June 5, 1939",p) •
,"Sept. 22, 1938","Oct. 20,1938",(1)
"Public Service Co. of Colorado, Grand Junction unit Radio Corporation of America","Feb..16,1939 Dec. 19,1933","Feb. 18,1939 Dec.",(I) (0
Red River Lumber Co,"Oct. 13,1938",Oct.,"Dec. 13,1938:"
,,"19.1938 25,1938",
Do Rembrandt Lamp Corporation,"do 'Apr. 17,1939","do Apr. 17,1939",Do. (I)
Richmond Hosiery Mills,,,"Sept. 12,1933"
Rils Manufacturing Corporation,"July 21, 1938","July 21,1938",
Rils Novelty Manufacturing Co,"Dec. 19,1938","Dec. 19, 1938 do","Feb. 23, 1939'"
,"do Aug. 8,1939","Aug. 16,1938",Do.
"Riverside Manufacturing Co Riverside Transfer Co., Inc","July 29,1938","Jan. 19,1939","Feb. 11,1939,"
RK0 Radio Pictures,"Sept. 8,1938","Oct. 19,1938",(0
"RKO Radio Pictures, Inc","Aug. 30,1938","Oct. 17,1938",(7)
RKO Radio Pictures,"Aug. 29,1938",Oct.,(3)
,,"6,1938 Oct. 20,1938",
RKO Radio Pictures et al RKO Pictures et al,"Sept. 22,1938 Oct. 3,1938","Oct. 24,",
