Method and stage of disposition,All C cases — Number,All C cases — Percent of total closed,All C cases — Percent of total method,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Board decision,686,2.9,86.6,540,3.4,92,1.7,35,2.0,3,0.4,2,4.1,13,2.9
Circuit court of appeals decree,413,1.7,35.9,354,2.3,24,0.4,17,1.0,,,,,2,0.4
Withdrawal,5374,22.5,100.0,4582,28.0,36,0.7,1098,37.3,614,84.9,,,122,27.4
Withdrawal — Before issuance of complaint,5208,21.8,95.0,3468,26.4,1963,36.6,692,34.2,,,,,170,
Dismissal,8343,35.0,100.0,5582,36.0,2334,43.5,263,16.6,,,28,51.0,109,24.0
Dismissal — Before issuance of complaint,7994,33.5,95.8,5325,34.3,2266,42.3,278,15.7,,,16,36.7,107,23.6
10(k) actions (see table 7A for details of disposition),678,2.8,,,,,,,,678,97.2,,,,
Otherwise compliance with order of trial examiner or Board not achieved — firms went out of business,15,,,12,,2,,1,,,,,,,
