row_label,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
"Agriculture, Forestry, Fishing, and Hunting (NAICS 11) — sector subtotal",75,63,52,11,0,0,0,0,0,12,11,0,1,0,0,0
Mining (NAICS 21) — sector subtotal,321,272,207,59,3,1,1,0,1,45,33,2,10,1,0,3
Construction (NAICS 23) — sector subtotal,4625,3801,2722,577,263,164,12,1,62,810,734,27,49,3,3,8
Manufacturing (NAICS 31) — sector subtotal (visible portion only),1812,1555,1244,297,8,1,2,0,3,240,196,6,48,8,1,8
