Unfair labor practices alleged,"Number of cases, showing specific allegations",Percent of total
Subsections of Sec. 8 of the Act — 8 (1),483,12.7
8 (1) (2),115,3.0
8 (1) (3),1856,48.7
8 (1) (4),2,
8 (1) (5),729,19.1
8 (1) (2) (3),84,2.2
8 (1) (3) (4),51,1.3
8 (1) (3) (5),30,0.8
8 (1) (2) (5),335,10.4
8 (1) (2) (3) (4),4,0.1
8 (1) (2) (3) (5),56,1.5
8 (1) (2) (4) (5),1,
8 (1) (3) (4) (5),5,0.1
8 (1) (2) (3) (4) (5),4,0.1
8 (1),3815,100.0
8 (2),315,8.3
8 (3),2434,63.8
8 (4),46,1.2
8 (5),1241,32.5
