NLRB Region,Number of elections — Total,Number of elections — Consent,Number of elections — Ordered,Number of employees — Eligible to vote,Number of employees — Voting,Valid votes cast — Total,Valid votes cast — For trade unions — National,Valid votes cast — For trade unions — Local,Valid votes cast — For unaffiliated unions,Valid votes cast — Against all unions / For neither,Percentage of valid votes cast — For trade unions,Percentage of valid votes cast — For unaffiliated unions,Percentage of valid votes cast — Against all unions / By no unions,Number of elections won — By trade unions — National,Number of elections won — By trade unions — Local,Number of elections won — By unaffiliated unions,Number of elections won — By no unions
1. Boston,54,46,8,16206,14429,14197,7754,651,1374,4418,59.2,,,28,6,3,17
Total,740,481,257,207181,177215,171143,,6421,34065,5098,68.9,3.6,22.1,522,21,31,172
