Participating union,Elections in which union participated / Number,Elections in which union participated / Number of eligible voters,Elections in which union participated / Number of valid votes cast,Elections won by union / Number,Elections won by union / Percent elections in which union participated,Valid votes cast for union / Number,Valid votes cast for union / Percent of total
A. F. of L.,2018,642384,513815,1398,69.3,267118,41.6
C. I. O.,2350,1044265,833406,1766,75.1,515271,61.8
Unaffiliated,745,368381,300332,416,55.8,140780,46.9
