Method and stage of disposition,All C cases — Number,All C cases — Percent of total closed,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Total number of cases closed,32855,100.0,23537,100.0,7996,100.0,861,100.0,217,100.0,46,100.0,38,100.0,160,100.0
Agreement of the parties,10170,31.0,6854,35.4,1270,15.8,471,54.7,2,0.9,4,8.7,9,23.6,60,37.5
Informal settlement,9819,29.9,6562,27.9,1143,14.3,364,42.3,1,0.5,4,8.7,6,15.8,39,24.4
Informal settlement — Before issuance of complaint,7019,21.4,4929,20.9,825,10.3,280,32.5,1,0.5,,,2,5.3,24,15.0
"Informal settlement — After issuance of complaint, before opening of hearing",2745,8.4,1557,6.6,308,3.9,81,9.4,0,0,4,8.7,4,10.5,14,8.8
"Informal settlement — After hearing opened, before issuance of administrative law judge's decision",55,0.2,53,0.2,1,0.0,1,0.1,0,0,,,0,0,0,0
Formal settlement,351,1.1,153,0.6,141,1.5,66,7.6,1,0.5,,,3,7.9,21,13.1
