row_label,Case No.,Union and company,Date petition for injunction filed,Type of item,Temporary restraining order / Date issued,Temporary restraining order / Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
19-CC-70,19-CC-70,"*Longshoremen's & Warehousemen's, Local 50 (Marine Food Ind)","Dec. 16, 1959",,,,,,"Apr. 25, 1959",Settled
18-CC-68,18-CC-68,"*Teamsters, Local 968 (Sciejun Grocery Co.)","Dec. 17, 1959",,,,"Mar. 9, 1960",,,
14-CC-50,14-CC-50,"Meat Cutters, Local 11 (Stavevay Food Markets)","Jan. 5, 1960",,"Jan. 5, 1960","Jan. 29, 1960","Jan. 29, 1960",,,"Feb. 12, 1960 Withdrawn"
Remaining ~17 cases on this page,,,,,,,,,,
