Division and State,Total elections,Number of elections in which representatives won by unions / Total,Number of elections in which representatives won by unions / AFL-CIO,Number of elections in which representatives won by unions / Teamsters,Number of elections in which representatives won by unions / Other national unions,Number of elections in which representatives won by unions / Other local unions,Number of elections in which no representative was chosen,Total number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Total votes for no union,Eligible employees in units choosing representation
South Atlantic,375,173,121,33,12,7,202,33928,14206,11056,2123,563,447,2643,17047
East South Central,203,81,62,11,4,4,121,20944,19611,8836,7415,820,421,180,10775
West South Central,186,85,65,12,3,5,101,15132,9431,4068,3335,287,83,363,7247
Per-state,,,,,,,,,,,,,,,
