Industrial group,Elections — Number,Elections — Percent,Winner — A. F. of L. — Number,Winner — A. F. of L. — Percent,Winner — C. I. O. — Number,Winner — C. I. O. — Percent,Winner — Unaffiliated — Number,Winner — Unaffiliated — Percent,Winner — No union — Number,Winner — No union — Percent,Eligible voters — Number,Eligible voters — Percent,Valid votes cast — Number,Valid votes cast — Percent
Total,5514,100.0,2092,37.9,858,15.6,939,17.0,1625,29.5,588761,100.0,516248,100.0
Manufacturing — total,3687,65.9,1251,34.2,692,18.8,677,18.4,1007,27.3,454419,77.2,400738,77.6
Manufacturing — Food and kindred products,595,10.8,201,33.8,94,15.8,142,23.9,158,26.5,39238,6.7,39234,
Manufacturing — Tobacco manufactures,7,.1,5,71.4,1,14.3,0,0,1,14.3,3623,.6,2981,.6
Manufacturing — Textile-mill products,149,2.7,27,18.1,31,20.8,10,6.7,62,41.6,32985,5.6,27888,5.4
Manufacturing — Apparel and other finished products made from fabrics and similar materials,96,1.8,35,36.5,26,27.0,29,30.2,6,6.2,12308,2.1,11267,2.2
Manufacturing — Lumber and wood products,230,4.2,100,43.5,33,14.3,27,11.7,70,30.4,17758,3.0,16433,3.2
Manufacturing — Furniture and fixtures,121,2.2,53,43.8,21,17.4,9,7.4,37,30.6,11234,1.9,10962,2.1
Manufacturing — Paper and allied products,163,3.0,67,41.1,33,20.2,23,14.1,40,24.5,31206,5.3,8478,
"Manufacturing — Printing, publishing, and allied industries",152,2.8,70,46.1,12,7.9,37,24.3,33,21.7,11825,2.0,8540,
Manufacturing — Chemicals and allied products,243,4.4,89,36.6,32,13.2,37,15.2,85,35.0,21878,3.7,20061,3.9
Manufacturing — Products of petroleum and coal,98,1.8,33,33.7,13,13.3,12,12.2,40,40.8,31725,5.4,4063,
Manufacturing — Rubber products,79,1.4,29,36.7,28,35.4,9,11.4,13,16.5,20361,3.5,18612,3.6
Manufacturing — Leather and leather products,143,2.6,69,48.3,26,18.2,16,11.2,32,22.4,16967,2.9,16283,3.2
"Manufacturing — Stone, clay, and glass products",173,3.1,66,38.2,30,17.3,21,12.1,56,32.4,14732,2.5,14121,2.7
Manufacturing — Primary metal industries,334,6.1,115,34.4,63,18.9,47,14.1,109,32.6,26054,4.4,24732,4.8
Manufacturing — Fabricated metal industries (except machinery and transportation equipment),286,5.2,94,32.9,53,18.5,61,21.3,78,27.3,32902,5.6,47854,
Manufacturing — Machinery (except electrical),401,7.3,,,,,,,,,,,,
"Manufacturing — Electrical machinery, equipment, and supplies",202,3.7,,,,,,,,,,,,
Manufacturing — Transportation equipment — total,208,3.8,,,,,,,,,,,,
