row_label,Industrial group,Elections — Number,Elections — Percent,AFL affiliates won — Number,AFL affiliates won — Percent,CIO affiliates won — Number,CIO affiliates won — Percent,Unaffiliated unions won — Number,Unaffiliated unions won — Percent,No union won — Number,No union won — Percent,Eligible voters — Number,Eligible voters — Percent,Valid votes cast — Number,Valid votes cast — Percent
Total,5629,100.0,2101,37.4,1199,21.3,896,16.0,1433,24.3,890374,100.0,781382,79.8,
Manufacturing,3722,66.2,1241,37.4,1007,27.1,569,15.3,905,24.3,695748,78.1,623302,79.8,
