Types of formal actions taken,Cases in which formal actions taken,Total formal actions taken,Formal actions taken by type of case / CA,Formal actions taken by type of case / CB,Formal actions taken by type of case / CC,Formal actions taken by type of case / CD / Jurisdic- tional dis- putes,Formal actions taken by type of case / CD / Unfair labor practices,Formal actions taken by type of case / CE,Formal actions taken by type of case / CG,Formal actions taken by type of case / CP,Formal actions taken by type of case / C combined with CR,Formal actions taken by type of case / C combined with rep- resentation cases,Other C combina- tions
10(k) notices of hearings issued,49,49,,,,43,,,,,,,
Complaints issued,4756,4756,3618,3271,246,30,,10,,5,3,14,0
"Hearings completed, total",741,506,465,24,0,9,0,0,0,2,0,0,0
"Decisions and orders by the Board, total",1722,897,731,64,8,24,0,2,0,2,2,13,43
