Union affiliation,Elections in which a representative was redesignated / Employees eligible to vote,Elections in which a representative was redesignated / Total valid votes cast,Elections in which a representative was redesignated / Percent casting valid votes,Elections in which a representative was redesignated / Votes cast for winning union,Elections in which a representative was redesignated / Votes cast for no union,Elections resulting in decertification / Employees eligible to vote,Elections resulting in decertification / Total valid votes cast,Elections resulting in decertification / Percent casting valid votes,Elections resulting in decertification / Votes cast for losing union,Elections resulting in decertification / Votes cast for no union
Total,8526,7474,87.7,5785,1689,7705,7182,93.2,1887,5295
AFL-CIO,8003,6983,87.3,5379,1604,6797,6343,93.3,1753,4590
Unaffiliated,523,491,93.9,406,85,908,839,92.4,134,705
