row_label,Division and State,Total elections,Number of elections in which representation chosen — Total,AFL-CIO,Teamsters,Other national,Other local,Number of elections in which no representation chosen,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO,Teamsters,Other national,Other local,Votes for no union,Total eligible employees
West North Central TOTAL,66,14,8,6,0,0,52,2679,1205,850,246,0,0,1197,822,
South Atlantic — Florida,17,7,2,5,0,0,10,,,,,,,,,
South Atlantic TOTAL,37,9,6,,,,28,1221,740,556,176,0,8,,822,
East South Central TOTAL,35,11,8,,,,26,1607,,1235,,,,,,
West South Central — Texas,23,8,6,,,,15,,,,,,,,,
West South Central TOTAL,39,13,10,,,,26,4181,,1617,,,,,,
