row_label,All cases / Fiscal year 1947,All cases / Fiscal year 1946,All cases / Percent increase or decrease,Unfair labor practice cases / Fiscal year 1947,Unfair labor practice cases / Fiscal year 1946,Unfair labor practice cases / Percent increase or decrease,Representation cases / Fiscal year 1947,Representation cases / Fiscal year 1946,Representation cases / Percent increase or decrease
Total,14909,12260,+21.6,4232,3815,+10.9,10677,8445,+26.4
Boston,929,929,.0,286,272,-5.9,643,657,+2.4
New York,1866,1506,+23.9,675,504,+33.9,1191,1002,+18.9
Buffalo,420,398,+5.5,128,134,-4.5,292,264,+10.6
Philadelphia,723,552,+31.0,186,148,+25.7,537,404,+32.9
Baltimore,993,660,+50.5,294,244,+20.5,699,416,+68.0
Pittsburgh,411,382,+7.5,85,88,-3.4,326,294,+10.9
Detroit,537,436,+23.2,174,153,+13.7,363,283,+28.3
Cleveland,509,572,-11.0,170,193,-11.9,429,379,+13.2
Cincinnati,762,567,+34.4,159,132,+21.4,569,408,+39.5
Atlanta,1123,707,+60.2,291,249,-16.9,832,452,+84.1
Indianapolis,227,354,,49,103,,178,251,
Chicago,1084,914,+18.6,293,332,-11.7,791,582,+35.9
St. Louis,432,380,+13.7,126,123,+2.4,306,257,+19.1
New Orleans,830,471,+76.2,233,120,+94.2,597,351,+70.1
Fort Worth,747,605,+23.5,185,164,+12.8,562,441,+27.4
Kansas City,548,493,+11.2,147,145,+1.4,401,348,+15.2
Minneapolis,479,382,+25.4,129,133,-3.0,350,249,+40.5
Seattle,519,430,+20.7,129,135,-36.4,384,331,+16.0
San Francisco,659,585,+12.6,181,184,-1.6,478,401,+19.2
Los Angeles,843,784,+7.5,264,258,+2.3,579,526,+10.1
Honolulu,156,95,+64.2,27,12,+125.0,129,83,+55.4
San Juan,21,64,-67.2,10,38,-73.7,11,26,-57.7
