row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Administrative and Support and Waste Management and Remediation,,,,,,,,,,,,,,
Services....................................................,224,136,41,78,17,88,13317,8762,4798,1456,2773,569,3964,8432
Educational Services............................,40,32,16,7,9,8,3498,2447,1581,439,584,558,866,3072
Ambulatory Health Care Services............,60,36,10,20,6,24,11606,8583,7403,509,3734,3160,1180,7798
Hospitals....................................................,81,52,11,23,18,29,10322,8274,5256,670,2626,1960,3018,7521
Nursing and Residential Care Facilities....,165,100,14,86,0,65,19141,14138,8435,1051,7317,67,5703,11892
Social Assistance......................................,34,24,7,15,2,10,1622,1290,811,201,598,12,479,1379
Health Care and Social Assistance......,340,212,42,144,26,128,42691,32285,21905,2431,14275,5199,10380,28590
"Performing Arts, Spectator Sports, and Related Industries......................................",18,14,12,2,0,4,426,343,236,188,48,0,107,331
"Museums, Historical Sites, and Similar Institutions................................................",1,0,0,0,0,1,10,10,2,2,0,0,8,0
"Amusement, Gambling, and Recreation Industries..................................................",8,2,2,0,0,6,848,777,319,174,24,121,458,89
"Arts, Entertainment, and Recreation....",27,16,14,2,0,11,1284,1130,557,364,72,121,573,420
Accommodation........................................,39,23,9,10,4,16,2222,1743,900,262,324,314,843,959
Food Services and Drinking Places..........,26,17,3,11,3,9,1373,1015,757,119,577,61,258,1134
Accommodation and Food Services....,65,40,12,21,7,25,3595,2758,1657,381,901,375,1101,2093
Repair and Maintenance............................,21,10,6,4,0,11,1001,867,464,259,205,0,403,481
Personal and Laundry Services................,19,10,2,8,0,9,688,544,310,59,251,0,234,366
"Religious, Grantmaking, Civic, Professional, and Similar Organizations..",21,12,6,6,0,9,1000,841,438,241,185,12,403,459
Private Households..................................,1,0,0,0,0,1,30,24,5,0,5,0,19,0
Other Services (except Public Administration)........................................,62,32,14,18,0,30,2719,2276,1217,559,646,12,1059,1306
