Number of unions participating,Elections and cross-checks / Number,Elections and cross-checks / Percent of total,Eligible voters / Number,Eligible voters / Percent of total,Eligible voters / Percent casting valid votes
1 union,3883,78.9,577077,53.1,82.4
2 unions,979,19.9,471857,43.4,82.2
3 or more unions,57,1.2,38243,3.5,78.8
